id,title,base_price,sold_quantity,rating_average,visits
MCO857972256,Pack Minoxidil Forte 5% Colmed - g a $239,95558,500,4.3,5709
MCO520096335,Cinturilla De Avispa Xd,48999,2100,4.7,106635
MCO484811309,Acido Glicolico 10% Pili  30ml - Peelin - mL a $947,28400,500,4.6,142951
MCO454240202,Desodorante Natural De Piedra Alumbre De Potasio,21000,5000,4.6,141484
MCO452812575,Recarga 25gr Fibras Capilares Toppik  - G A $ 1036,16900,6055,4.6,71975
MCO567537772,Faja 100% Látex 4 Hileras,70000,1560,4.6,109638
MCO612437224,Cepillo Alisador-secador Voluminizador De Cabello,45900,500,4.4,10415
MCO608521946,Olla Para Cera Depilatoria + Cera - Unidad a $44900,44900,500,4.5,25264
MCO602899347,Manillas Seguridad Papel Tyvek Eventos ( 1.000 Impresas ),120000,250,4.8,2942
MCO602899427,Manillas Seguridad Papel Tyvek Eventos ( 500 Impresas ),68000,50,0,903
MCO602899159,Manillas Seguridad Papel Tyvek Para Eventos ( 100 Impresas ),25000,250,4,4310
MCO602897535,Manilla Seguridad Papel Tyvek Para Eventos ( 1.000 Und ),110000,150,0,1725
MCO834057776,Venta Paquete De 100 Tokens Chaturbate,32000,5,0,269
MCO602899762,Manilla Seguridad Papel Tyvek Para Eventos ( 100 Unidades ),18000,50,0,1631
MCO820124073,Manillas Seguridad Papel Tyvek Para Eventos ( 150 Impresas ),30000,5,0,299
MCO831351212,Manillas Seguridad Papel Tyvek Eventos ( 1.500 Impresas ),175000,5,0,63
MCO602899653,Manilla Seguridad Papel Tyvek Para Eventos ( 500 Unidades ),57000,5,0,396
MCO822905494,Manillas Seguridad Papel Tyvek Para Eventos ( 160 Impresas ),33000,5,0,158
MCO849281403,Mystery Box Manillas Tyvek ( 100 Unidades ),9900,5,0,1700
MCO554457206,Manilla De Seguridad-brazaletes Vip-papel Tyvek-para Eventos,18000,150,0,3336
MCO602899567,Manillas Seguridad Papel Tyvek Eventos ( 10 Impresas ),6000,50,0,399
MCO818941364,Manilla Seguridad Papel Tyvek Para Eventos ( 4.000 Unidades),412000,5,0,119
MCO611461900,Manilla Seguridad Papel Tyvek Para Eventos ( 2.000 Und ),210000,5,0,464
MCO644092261,Manillas Seguridad Papel Tyvek Eventos ( 3.000 Impresas ),345000,5,0,100
MCO577975745,Aro De Luz 26 Cm Con Trípode Profesional 2 Metros De Altura,41500,5000,4.6,245709
